Characteristic,Level,Overall,No internet use,Any internet use
"Age (years), weighted mean",Mean,28.63,28.58,28.90
Educational attainment,no education,7.1%,8.0%,2.7%
Educational attainment,primary,65.1%,72.2%,30.3%
Educational attainment,secondary,24.9%,19.6%,51.0%
Educational attainment,higher,2.9%,0.2%,16.1%
Household wealth quintile,poorest,19.8%,23.0%,3.8%
Household wealth quintile,poorer,18.9%,21.6%,5.7%
Household wealth quintile,middle,19.1%,21.0%,9.8%
Household wealth quintile,richer,19.1%,19.0%,20.0%
Household wealth quintile,richest,23.0%,15.5%,60.7%
Residence,urban,17.8%,12.6%,43.4%
Residence,rural,82.2%,87.4%,56.6%
Marital status,never in union,21.6%,20.7%,26.1%
Marital status,married,53.1%,53.3%,52.1%
Marital status,living with partner,7.3%,7.9%,4.7%
Marital status,widowed,2.6%,2.6%,2.5%
Marital status,divorced,8.0%,7.9%,8.2%
Marital status,no longer living together/separated,7.3%,7.5%,6.2%
Marital status,nullified,0.1%,0.1%,0.1%
Region,northern,13.0%,12.2%,17.1%
Region,central,42.2%,43.3%,36.8%
Region,southern,44.8%,44.5%,46.1%
Age group,15–19,21.3%,23.1%,12.4%
Age group,20–24,20.7%,19.7%,25.3%
Age group,25–29,15.3%,14.3%,20.4%
Age group,30–34,13.2%,12.7%,15.9%
Age group,35–39,11.8%,11.9%,11.2%
Age group,40–44,10.3%,10.5%,9.7%
Age group,45–49,7.3%,7.8%,5.0%
